city,hour,T_road,T_can,Tmrt
澳门,1,-0.294618844,0.0021198627692308055,-0.320667991
澳门,2,-0.260408749,0.003405312553846198,-0.29410913
澳门,3,-0.247404512,0.006796759446153806,-0.288793502
澳门,4,-0.224794901,-0.002425593,-0.269902523
澳门,5,-0.207200382,-0.001331712,-0.256474901
澳门,6,-0.1961431,0.007262434399999882,0.2586232926950351
澳门,7,-0.30160596,-0.002681459,3.3618568708667156
澳门,8,-0.944949844,-0.023040027,6.169793577200402
澳门,9,-1.766844431,-0.027959925,8.461752748390682
澳门,10,-2.674695091,-0.075930013,10.257855628485814
澳门,11,-3.630565258,-0.082909059,10.810645855770915
澳门,12,-4.402636516,-0.098170179,10.979266816327906
澳门,13,-4.217694072,-0.074700855,10.591568160661126
澳门,14,-3.617827765,-0.0636923,9.46471754949443
澳门,15,-2.965725049,-0.069164097,7.851890107606726
澳门,16,-2.265680336,-0.045562009,5.372474534427153
澳门,17,-1.579354486,-0.022127375,2.4961893072991943
澳门,18,-1.103523843,-0.001269481,-0.226042938
澳门,19,-0.822723962,0.0020304800000000203,-0.691279816
澳门,20,-0.601471048,-0.005556006,-0.526544287
澳门,21,-0.473211383,0.006108163815384601,-0.436342175
澳门,22,-0.404385326,-0.00230324,-0.391461165
澳门,23,-0.359698378,-0.000344503,-0.364448272
澳门,24,-0.334749138,0.006039135076923128,-0.352543232
保定,1,-0.576804291,-0.036239837,-0.537349364
保定,2,-0.5250944,-0.034929097,-0.495753747
保定,3,-0.482028012,-0.035067942,-0.461878105
保定,4,-0.440091626,-0.03044052,-0.425720593
保定,5,-0.401696771,-0.027374734,0.10952777644568443
保定,6,-0.366325972,-0.023665836,2.9212685799459197
保定,7,-0.804280782,0.02511763344873816,5.2284918713626976
保定,8,-1.556909113,0.0049894707742996975,8.180631639481806
保定,9,-2.435083419,-0.022085325,9.540379084351349
保定,10,-3.45606924,-0.054523806,11.050840937080864
保定,11,-4.362480939,-0.075028146,10.647557761918453
保定,12,-4.919116017,-0.085415777,10.835907233931
保定,13,-4.958317458,-0.088942355,9.889553456696099
保定,14,-4.553698792,-0.087890567,8.684635660070722
保定,15,-3.836922727,-0.078994152,7.345573326777218
保定,16,-3.00586079,-0.066853063,5.27396798102806
保定,17,-2.306960594,-0.050966966,2.891789253250479
保定,18,-1.829996797,-0.04257309,0.34280322948587044
保定,19,-1.509270173,-0.024571848,-1.189351635
保定,20,-1.201514731,-0.046816258,-0.960514139
保定,21,-0.949377652,-0.048588059,-0.762860672
保定,22,-0.79148051,-0.040009498,-0.653388485
保定,23,-0.684896105,-0.034821295,-0.575642028
保定,24,-0.604414862,-0.029960921,-0.515131725
成都,1,-0.354656826,3.322976040482832e-05,-0.285276667
成都,2,-0.324172567,0.0017696365869882679,-0.26270401
成都,3,-0.296620355,0.004371094292362829,-0.24098942
成都,4,-0.267171909,0.0056205528224434025,-0.217335268
成都,5,-0.241673957,0.008209117159824095,-0.198495548
成都,6,-0.220624349,0.011755121885990314,-0.024647995
成都,7,-0.600434957,0.022948745311684563,2.585042369599892
成都,8,-1.341271864,0.037974138239357656,5.481135720684399
成都,9,-2.262657116,0.02822925312339495,8.031003569599413
成都,10,-3.080165482,-0.021506603,9.979527087442241
成都,11,-3.681046396,-0.066011946,11.46323900399776
成都,12,-4.097397553,-0.086688776,11.959846694325092
成都,13,-4.04647387,-0.087314039,12.086528289574716
成都,14,-3.557629265,-0.080163023,11.813583721422914
成都,15,-2.805657193,-0.06975657,10.980938311034832
成都,16,-2.109987767,-0.05665374,9.01878139242727
成都,17,-1.62696223,-0.040688494,6.4750671227480705
成都,18,-1.317496372,-0.027578476,3.5222150606691196
成都,19,-1.017366043,-0.015380886,0.37444094493329866
成都,20,-0.750676199,-0.03460596,-0.572967346
成都,21,-0.590144572,-0.024898714,-0.455632262
成都,22,-0.514658948,-0.020918307,-0.403446583
成都,23,-0.456892109,-0.010939319,-0.35985063
成都,24,-0.409039155,-0.005187069,-0.324776896
大连,1,-0.368968618,-0.00900596,-0.347208346
大连,2,-0.335867639,-0.00919762,-0.319553394
大连,3,-0.312398998,-0.009218944,-0.299921127
